loan_id|bought_home_before|credit_score|dti|is_insured|ltv|multi_borrowers|orig_rate|prop_type|purpose|state|delq
F105Q1263027|1|797|18|0|28|1|5.375|1-4 Fee simple|Cash-out refinance|MI|0
F105Q1263028|1|666|31|0|46|1|5.375|Manufactured housing|Cash-out refinance|MI|0
F105Q1263029|1|711|15|0|63|1|5.375|1-4 Fee simple|Cash-out refinance|TN|0
F105Q1263030|1|740|17|0|64|1|5.25|1-4 Fee simple|Cash-out refinance|others|0
F105Q1263031|1|707|31|0|58|1|5.5|1-4 Fee simple|Purchase|others|0
F105Q1263032|1|675|20|0|79|0|5.375|1-4 Fee simple|Cash-out refinance|others|0
F105Q1263033|1|794|20|0|31|0|5.5|1-4 Fee simple|Purchase|others|0
F105Q1263034|1|673|26|0|59|1|5.25|1-4 Fee simple|Cash-out refinance|others|0
F105Q1263035|1|621|41|0|44|0|5.25|1-4 Fee simple|No cash-out refinance|others|0
F105Q1263036|1|809|34|0|56|0|5.25|1-4 Fee simple|Purchase|others|0
F105Q1263037|1|774|23|0|40|0|5.25|Condo|Purchase|others|0
F105Q1263060|1|694|16|0|52|0|5.375|Manufactured housing|No cash-out refinance|others|0
F105Q1263120|1|790|20|0|55|1|5.5|1-4 Fee simple|Cash-out refinance|others|0
F105Q1263121|1|702|49|0|41|0|5.375|1-4 Fee simple|Cash-out refinance|MI|0
F105Q1263141|1|752|51|0|32|1|5.25|1-4 Fee simple|Purchase|others|0
F105Q1263142|1|721|17|0|32|1|5.25|1-4 Fee simple|No cash-out refinance|others|0
F105Q1263143|1|800|41|0|80|1|5.25|1-4 Fee simple|Cash-out refinance|MI|0
F105Q1263150|1|650|23|0|36|1|5.625|1-4 Fee simple|Cash-out refinance|CA|0
F105Q1263151|1|766|9|0|21|1|5.375|1-4 Fee simple|No cash-out refinance|others|0
F105Q1263152|1|780|38|0|45|0|5.375|1-4 Fee simple|No cash-out refinance|FL|0
F105Q1263334|1|705|33|0|56|1|5.25|1-4 Fee simple|Cash-out refinance|WI|0
F105Q1263335|1|779|999|0|70|1|5.125|1-4 Fee simple|Cash-out refinance|others|0
F105Q1263336|1|803|37|0|31|0|5.25|Condo|No cash-out refinance|CA|0
F105Q1263337|0|780|13|0|80|1|5.125|1-4 Fee simple|Purchase|GA|0
F105Q1263338|1|747|22|0|72|0|5.25|1-4 Fee simple|No cash-out refinance|others|0
F105Q1263339|1|766|12|0|38|1|5.125|1-4 Fee simple|Cash-out refinance|MI|0
F105Q1263340|1|753|21|0|58|1|5.25|1-4 Fee simple|No cash-out refinance|TN|0
F105Q1263341|1|799|42|0|25|0|5.25|1-4 Fee simple|Cash-out refinance|others|0
F105Q1263342|1|680|56|0|25|1|5.125|1-4 Fee simple|No cash-out refinance|others|0
F105Q1263343|1|747|26|0|75|0|5.25|1-4 Fee simple|No cash-out refinance|WI|0
F105Q1263344|1|750|55|0|45|1|5.125|1-4 Fee simple|Cash-out refinance|LA|0
F105Q1263345|1|788|21|0|55|1|5.125|1-4 Fee simple|Cash-out refinance|others|0
F105Q1263346|1|653|31|0|68|0|5.125|1-4 Fee simple|Cash-out refinance|others|0
F105Q1263417|1|679|36|0|75|1|5.25|1-4 Fee simple|Cash-out refinance|others|0
F105Q1263422|1|783|13|0|38|1|5.25|1-4 Fee simple|No cash-out refinance|MI|0
